phi	phi_sigma	hist	Sigma8
0.00014739962695928743	4.255060715169751e-05	12.0	0.1
0.0002825159516719676	5.8908648124657166e-05	23.0	0.1
0.0003807823696448259	6.839053250652999e-05	31.0	0.1
0.0003070825561651822	6.141651123303644e-05	25.0	0.1
0.0005281819966041133	8.054699935754793e-05	43.0	0.1
0.00033164916065839674	6.382591072754627e-05	27.0	0.1
0.0002825159516719676	5.8908648124657166e-05	23.0	0.1
0.0002825159516719676	5.8908648124657166e-05	23.0	0.1
0.00033164916065839674	6.382591072754627e-05	27.0	0.1
0.0001842495336991093	4.757302503754217e-05	15.0	0.1
0.0001842495336991093	4.757302503754217e-05	15.0	0.1
0.00014739962695928743	4.255060715169751e-05	12.0	0.2
0.0003070825561651822	6.141651123303644e-05	25.0	0.2
0.0004913320898642915	7.768642457508458e-05	40.0	0.2
0.00040534897413804045	7.056219926199687e-05	33.0	0.2
0.0005404652988507206	8.14782094770518e-05	44.0	0.2
0.0005527486010973279	8.239889643476934e-05	45.0	0.2
0.0004667654853710769	7.571936037168624e-05	38.0	0.2
0.0003562157651516113	6.614760697382575e-05	29.0	0.2
0.0003070825561651822	6.141651123303644e-05	25.0	0.2
0.00024566604493214575	5.493259762317956e-05	20.0	0.2
0.000171966231452502	4.59599085849951e-05	14.0	0.2
8.5983115726251e-05	3.2498563023163864e-05	7.0	0.3
0.00023338274268553844	5.354167318592729e-05	19.0	0.3
0.000343932462905004	6.499712604632773e-05	28.0	0.3
0.00047904878761768416	7.670919794378505e-05	39.0	0.3
0.00040534897413804045	7.056219926199687e-05	33.0	0.3
0.00047904878761768416	7.670919794378505e-05	39.0	0.3
0.0003070825561651822	6.141651123303644e-05	25.0	0.3
0.00023338274268553844	5.354167318592729e-05	19.0	0.3
0.00029479925391857485	6.0175645721140226e-05	24.0	0.3
0.00020881613819232386	5.0645352594148554e-05	17.0	0.3
0.00020881613819232386	5.0645352594148554e-05	17.0	0.3
6.141651123303644e-05	2.746629881158978e-05	5.0	0.4
0.0001842495336991093	4.757302503754217e-05	15.0	0.4
0.0003070825561651822	6.141651123303644e-05	25.0	0.4
0.0005404652988507206	8.14782094770518e-05	44.0	0.4
0.000687864925810008	9.19198171699902e-05	56.0	0.4
0.0005036153921108988	7.865151033096447e-05	41.0	0.4
0.0003930656718914332	6.948485051151973e-05	32.0	0.4
0.00041763227638464773	7.16233445098123e-05	34.0	0.4
0.000343932462905004	6.499712604632773e-05	28.0	0.4
0.0003562157651516113	6.614760697382575e-05	29.0	0.4
0.00042991557863125506	7.266899609085546e-05	35.0	0.4
9.82664179728583e-05	3.474242525575987e-05	8.0	0.5
0.000171966231452502	4.59599085849951e-05	14.0	0.5
0.00031936585841178946	6.263279784680865e-05	26.0	0.5
0.00040534897413804045	7.056219926199687e-05	33.0	0.5
0.00031936585841178946	6.263279784680865e-05	26.0	0.5
0.0003930656718914332	6.948485051151973e-05	32.0	0.5
0.00023338274268553844	5.354167318592729e-05	19.0	0.5
0.0002702326494253603	5.761379444016136e-05	22.0	0.5
0.000343932462905004	6.499712604632773e-05	28.0	0.5
0.0002702326494253603	5.761379444016136e-05	22.0	0.5
0.00024566604493214575	5.493259762317956e-05	20.0	0.5
